关键词,7天展示量,流量占比,流量分布(自然),流量分布(广告),展示位置,自然排名,自然排名(页码-页内排名),抓取时间,sp广告排名,sp广告排名(页码-页内排名),抓取时间,关键词排名,周搜索量,Top3 点击份额,Top3 购买份额
hospital ice machine for home,37,0.03%,100%,0%,"自然,SP",21,P2-5,美03月29日 23:47,2,P1-2,美03月15日 20:03,742663,240,73.08%,100.00%
gameready ice machine,36,0.03%,0%,100%,"SP,HR",-,-,-,12,P1-12,美03月28日 15:27,300603,617,82.36%,0.00%
snow ice maker,36,0.03%,0%,100%,"SP,HR",-,-,-,2,P1-2,美03月27日 19:17,560053,323,80.64%,100.00%
ice maker that keeps ice frozen,35,0.03%,31%,69%,"自然,SP",38,P3-6,美03月29日 00:10,2,P1-2,美03月24日 20:59,821599,216,78.19%,100.00%
icee maker,35,0.03%,0%,100%,HR,-,-,-,-,-,-,417753,439,81.40%,100.00%
chewable ice maker,33,0.03%,100%,0%,"自然,SP",16,P1-16,美03月30日 00:02,1,P1-1,美03月13日 17:34,775985,229,64.29%,0.00%
counter ice maker,33,0.03%,100%,0%,自然,28,P2-12,美03月30日 11:17,-,-,-,197819,951,60.87%,64.28%
euhomy ice maker machine countertop,33,0.03%,100%,0%,自然,26,P2-10,美03月30日 13:19,-,-,-,280507,662,78.77%,99.99%
pellet ice machine,32,0.03%,100%,0%,"自然,SP,HR",17,P2-1,美03月29日 00:23,2,P1-2,美03月12日 22:08,840406,211,73.91%,50.00%
shave ice maker,31,0.03%,0%,100%,SP,-,-,-,2,P1-2,美03月28日 22:26,636538,283,81.25%,100.00%
countertop crushed ice maker,30,0.03%,93%,7%,"自然,SP,HR",17,P2-1,美03月27日 22:01,14,P3-2,美03月27日 22:01,929638,189,85.18%,100.00%
ice maker frigidaire,29,0.02%,0%,100%,"SP,SOR",-,-,-,12,P2-6,美03月13日 16:12,418333,438,79.17%,71.43%
silonn countertop ice maker,29,0.02%,55%,45%,"自然,SP",34,P3-2,美03月27日 21:43,6,P1-6,美03月27日 21:43,889480,198,84.91%,100.00%
counter ice machine,29,0.02%,10%,90%,"自然,SP",37,P3-5,美03月29日 20:50,6,P1-6,美03月29日 20:50,464600,393,86.44%,100.00%
iced,28,0.02%,4%,96%,"自然,SP",109,P3-13,美03月29日 00:17,8,P1-8,美03月29日 00:17,829767,214,100.00%,0.00%
ice marker,28,0.02%,0%,100%,SP,-,-,-,1,P1-1,美03月25日 21:41,911184,193,91.67%,100.00%
large ice cube maker,27,0.02%,74%,26%,"自然,SP,HR",82,P2-34,美03月30日 00:02,24,P2-12,美03月30日 00:02,775749,229,100.00%,100.00%
small ice cube maker,27,0.02%,44%,56%,"自然,SP,HR",38,P3-6,美03月30日 17:18,18,P3-6,美03月06日 17:01,468020,390,45.16%,66.67%
home ice maker,26,0.02%,77%,23%,"自然,HR",38,P3-6,美03月30日 19:18,-,-,-,627321,287,66.67%,50.00%
silonn ice makers countertop,24,0.02%,29%,71%,"自然,SP,HR",44,P3-12,美03月28日 09:46,5,P1-5,美03月11日 16:41,145115,1312,87.77%,93.07%
whiskey ice maker,24,0.02%,0%,100%,SP,-,-,-,18,P2-6,美03月28日 21:48,565870,320,91.44%,100.00%
ice sphere maker,21,0.02%,0%,100%,SP,-,-,-,19,P2-7,美03月30日 16:43,440677,415,52.94%,20.00%
ice makers countertop frigidaire,21,0.02%,0%,100%,SP,-,-,-,2,P1-2,美03月27日 22:06,938270,187,75.00%,100.00%
mini ice cube maker,20,0.02%,100%,0%,"自然,SP,HR",32,P2-16,美03月27日 21:28,17,P3-5,美03月03日 18:53,854411,207,60.00%,0.00%
counter top ice makers,20,0.02%,0%,100%,"SP,HR",-,-,-,6,P1-6,美03月29日 23:00,634741,284,61.28%,0.00%
round ice cube maker,20,0.02%,0%,100%,SP,-,-,-,24,P2-12,美03月28日 09:39,143079,1332,40.65%,47.83%
insignia ice makers countertop,20,0.02%,0%,100%,"自然,SP",43,P3-11,美03月19日 22:10,2,P1-2,美03月27日 22:24,980089,178,100.00%,100.00%
aglucky countertop ice maker,18,0.02%,0%,100%,SP,-,-,-,3,P1-3,美03月27日 21:42,886856,199,100.01%,100.00%
ice dispenser,17,0.01%,0%,100%,HR,-,-,-,-,-,-,681844,263,92.00%,0.00%
rv ice maker,16,0.01%,0%,100%,"自然,SP",54,P3-6,美03月22日 20:52,6,P1-6,美03月29日 23:50,750565,238,85.71%,100.00%
counter top ice machine,16,0.01%,50%,50%,"自然,SP,HR",36,P3-4,美03月30日 19:29,17,P3-5,美03月07日 20:29,652694,276,80.64%,75.00%
opal cleaning kit for ice maker,16,0.01%,100%,0%,自然,21,P2-5,美03月26日 20:15,-,-,-,735300,243,96.55%,99.99%
water cooler with ice maker,15,0.01%,0%,100%,"SP,HR",-,-,-,10,P2-4,美03月29日 20:43,458465,398,59.46%,80.00%
icecream maker maker,14,0.01%,0%,100%,SP,-,-,-,11,P2-5,美03月28日 22:40,81392,2792,46.55%,58.33%
portable ice makers countertop prime clearance,14,0.01%,43%,57%,"自然,SP",35,P3-3,美03月30日 15:12,12,P2-6,美03月29日 18:46,368742,499,59.80%,16.67%
maquina para hacer hielo en casa,13,0.01%,100%,0%,自然,29,P2-13,美03月29日 23:55,-,-,-,759898,235,72.50%,100.00%
table top ice maker,13,0.01%,100%,0%,自然,44,P3-12,美03月30日 12:32,-,-,-,243685,766,53.10%,50.00%
small countertop ice maker,13,0.01%,100%,0%,"自然,SP",25,P2-9,美03月27日 22:04,1,P1-1,美03月12日 20:45,935896,188,60.86%,0.00%
nugget ice maker sonic ice,13,0.01%,62%,38%,"自然,SP,HR",34,P3-2,美03月27日 22:02,8,P2-2,美03月25日 21:49,929808,189,88.89%,0.00%
"silonn countertop ice maker machine with handle, portable ice makers, makes up to 27 lbs. of ice per day, 9 cubes in 7 mins, ice maker with ice scoop and basket, green, 12 x 9 x 12 inches (slim06)",13,0.01%,0%,100%,HR,-,-,-,-,-,-,916928,192,100.01%,100.00%
compact ice maker,13,0.01%,69%,31%,"自然,HR",18,P2-2,美03月30日 17:59,-,-,-,502762,362,86.41%,100.00%
dry ice cleaning machine,12,0.01%,0%,100%,SP,-,-,-,7,P1-7,美03月27日 22:06,939459,187,90.00%,0.00%
crushed ice makers countertop sonic ice,12,0.01%,100%,0%,自然,38,P3-6,美03月30日 20:07,-,-,-,735963,243,68.43%,100.00%
small ice makers countertop,11,0.01%,0%,100%,"自然,SP,HR",41,P3-9,美03月17日 13:58,18,P3-6,美03月29日 15:13,242833,769,70.13%,40.00%
cubitos,11,0.01%,100%,0%,自然,44,P1-44,美03月25日 21:56,-,-,-,946014,185,100.00%,100.00%
crushed ice makers,11,0.01%,18%,82%,"自然,SP,HR",46,P3-14,美03月28日 22:44,12,P2-6,美03月28日 22:44,668756,269,72.22%,100.00%
table top ice maker machine,10,0.01%,50%,50%,"自然,SP,HR",46,P3-14,美03月26日 11:32,18,P3-6,美03月29日 13:54,205632,913,43.10%,52.00%
portable ice machines countertop,9,0.01%,100%,0%,自然,36,P3-4,美03月29日 00:16,-,-,-,827482,214,73.34%,99.99%
countertop ice maker crushed ice,9,0.01%,100%,0%,"自然,SP",41,P3-9,美03月27日 21:29,1,P1-1,美03月13日 20:58,854615,207,72.73%,100.00%
self cleaning ice maker,9,0.01%,44%,56%,"自然,HR",28,P2-12,美03月30日 18:49,-,-,-,564683,321,63.27%,57.15%
ice maker kit,9,0.01%,0%,100%,"SP,HR",-,-,-,12,P2-6,美03月28日 22:29,641047,281,85.71%,100.00%
3 day,8,0.01%,100%,0%,自然,25,P2-9,美03月30日 18:46,-,-,-,559835,324,100.00%,0.00%
mini ice maker,8,0.01%,75%,25%,"自然,HR",34,P3-2,美03月29日 02:31,-,-,-,46777,4843,49.63%,36.37%
bullet ice maker,8,0.01%,50%,50%,"自然,HR",37,P3-5,美03月30日 19:27,-,-,-,646823,278,94.60%,100.00%
hielo seco,7,0.01%,100%,0%,自然,82,P2-34,美03月29日 19:05,-,-,-,378143,486,75.81%,100.00%
simple machines,6,0.01%,100%,0%,自然,136,P3-40,美03月30日 18:55,-,-,-,574381,315,78.95%,57.15%
refillable ice packs,6,0.01%,100%,0%,自然,122,P3-26,美03月27日 16:13,-,-,-,399531,459,70.90%,78.94%
ice crusher machine,6,0.01%,0%,100%,HR,-,-,-,-,-,-,435925,420,48.65%,100.00%
home ice makers countertop,6,0.01%,100%,0%,"自然,SP",43,P3-11,美03月27日 21:39,2,P1-2,美03月12日 18:12,875339,202,71.43%,100.00%
ice ball maker machine,6,0.01%,0%,100%,SP,-,-,-,17,P2-5,美03月30日 18:49,561901,322,51.73%,0.00%
icey machine maker,5,0.00%,0%,100%,"SP,HR",-,-,-,1,P1-1,美03月12日 21:19,661546,272,93.44%,100.00%
the best ice maker,5,0.00%,0%,100%,"自然,SP",48,P3-16,美03月08日 10:07,17,P3-5,美03月29日 13:44,201046,935,46.05%,0.00%
cube ice maker,5,0.00%,0%,100%,HR,-,-,-,-,-,-,608028,297,74.19%,50.00%
chik-fil-a,5,0.00%,100%,0%,自然,110,P3-14,美03月30日 12:27,-,-,-,240432,777,52.13%,69.99%
ice cube maker countertop,5,0.00%,60%,40%,"自然,HR",37,P3-5,美03月30日 14:44,-,-,-,347119,531,45.24%,37.50%
ice maker water dispenser,4,0.00%,0%,100%,HR,-,-,-,-,-,-,633778,284,60.87%,0.00%
icee maker slushy machine,4,0.00%,0%,100%,"SP,HR",-,-,-,18,P3-6,美03月28日 20:41,84836,2633,67.10%,100.00%
ice maker cup,4,0.00%,0%,100%,SP,-,-,-,26,P3-2,美03月28日 15:03,285842,650,72.19%,70.00%
cocktail ice maker,4,0.00%,100%,0%,自然,60,P2-12,美03月26日 22:02,-,-,-,978126,179,100.00%,0.00%
crush ice maker,3,0.00%,100%,0%,"自然,SP",37,P3-5,美03月24日 16:30,2,P1-2,美03月03日 18:25,423123,433,55.38%,0.00%
tabletop ice maker,3,0.00%,0%,100%,"SP,HR",-,-,-,4,P1-4,美03月07日 13:44,242340,770,50.00%,50.00%
small ice machine,3,0.00%,0%,100%,"自然,SP,HR",40,P3-8,美03月22日 14:46,16,P3-4,美03月29日 17:47,329853,560,66.66%,33.33%
circle ice maker,3,0.00%,0%,100%,SP,-,-,-,32,P3-8,美03月28日 23:38,761157,234,64.70%,100.00%
euhomy,2,0.00%,100%,0%,自然,136,P3-40,美03月30日 19:15,-,-,-,619403,291,77.14%,0.00%
portable ice machine,2,0.00%,0%,100%,"自然,HR",66,P3-18,美03月22日 14:57,-,-,-,338868,545,60.29%,25.00%
mini vending machine,2,0.00%,0%,100%,HR,-,-,-,-,-,-,55662,4197,51.61%,50.00%
daily crunch,2,0.00%,100%,0%,自然,98,P3-2,美03月23日 21:43,-,-,-,908285,194,78.94%,100.00%
pay day,2,0.00%,100%,0%,自然,137,P3-41,美03月29日 23:28,-,-,-,693697,258,95.12%,87.50%
cheap ice maker,2,0.00%,0%,100%,"自然,SP",91,P3-27,美03月21日 20:53,17,P3-5,美03月28日 23:33,754972,236,96.42%,50.00%
ice maker small,2,0.00%,0%,100%,"自然,SP,HR",27,P2-11,美03月19日 18:37,2,P1-2,美03月14日 18:49,443963,412,78.13%,0.00%
flake ice machine,1,0.00%,0%,100%,"SP,HR",-,-,-,17,P3-5,美03月27日 21:08,807394,220,70.83%,0.00%
insignia ice maker,1,0.00%,0%,100%,SP,-,-,-,18,P3-6,美03月29日 00:00,804087,221,95.35%,0.00%
countertop ice maker self cleaning,1,0.00%,0%,100%,"自然,HR",35,P3-3,美03月30日 19:25,-,-,-,643541,280,64.28%,83.33%
under counter ice maker,1,0.00%,0%,100%,HR,-,-,-,-,-,-,98007,2061,42.14%,44.44%
samsung ice maker,1,0.00%,100%,0%,"自然,SP",46,P3-14,美03月27日 21:20,7,P2-1,美03月08日 20:00,834323,212,84.61%,0.00%
large ice maker,1,0.00%,0%,100%,"自然,HR",44,P3-12,美03月07日 21:13,-,-,-,599673,301,72.22%,0.00%
countertop ice machine,0,0.00%,0%,0%,AC,-,-,-,-,-,-,191464,983,63.09%,50.00%
ice maker kit for refrigerator,0,0.00%,0%,0%,HR,-,-,-,-,-,-,767305,232,100.00%,100.01%
ge opal,0,0.00%,0%,0%,自然,27,P2-11,美03月17日 16:57,-,-,-,433266,422,92.60%,100.00%
wamife ice maker,0,0.00%,0%,0%,自然,6,P1-6,美03月20日 16:40,-,-,-,1814736,87,100.00%,0.00%
counter top ice maker,0,0.00%,0%,0%,自然,48,P3-16,美03月30日 07:05,-,-,-,102309,1895,53.96%,66.67%
wamife nugget ice maker,0,0.00%,0%,0%,"自然,SP",14,P1-14,美03月20日 16:17,17,P3-5,美03月20日 16:17,1638354,99,100.00%,0.00%
costway ice makers countertop,0,0.00%,0%,0%,"自然,SP",36,P3-4,美03月20日 20:09,2,P1-2,美03月03日 18:46,2045993,74,100.00%,0.00%
ice pellet maker machine,0,0.00%,0%,0%,"自然,SP",31,P2-15,美03月20日 20:28,2,P1-2,美03月13日 20:01,1029476,169,50.01%,0.00%
rovsun ice maker,0,0.00%,0%,0%,自然,13,P1-13,美03月20日 18:15,-,-,-,1397615,120,100.00%,100.00%
"icemakers, crushed ice countertop",0,0.00%,0%,0%,"自然,SP,HR",42,P3-10,美03月20日 19:23,1,P1-1,美03月12日 21:20,1090389,159,59.99%,0.00%
ice maker for freezer,0,0.00%,0%,0%,SP,-,-,-,1,P1-1,美03月30日 18:43,88638,2463,42.14%,51.29%
popcorn machine supplies,0,0.00%,0%,0%,自然,116,P3-20,美03月02日 11:12,-,-,-,195415,963,36.48%,31.26%
favorite day,0,0.00%,0%,0%,自然,104,P3-8,美03月17日 21:08,-,-,-,757531,235,100.00%,0.00%
ge profile ice maker countertop,0,0.00%,0%,0%,"自然,SP,AC",23,P2-7,美03月20日 21:12,2,P1-2,美03月20日 21:12,1051633,165,100.00%,0.00%
ice maker machine nugget ice for home,0,0.00%,0%,0%,自然,20,P2-4,美03月20日 22:20,-,-,-,1134157,152,84.61%,0.00%
shaved ice machine,0,0.00%,0%,0%,SP,-,-,-,17,P3-5,美03月02日 15:15,16713,10030,41.97%,47.21%
portable electric ice maker,0,0.00%,0%,0%,SP,-,-,-,2,P1-2,美03月03日 13:21,367472,501,67.07%,50.00%
vevor ice maker,0,0.00%,0%,0%,自然,31,P2-15,美03月20日 22:15,-,-,-,1310342,129,84.61%,0.00%
countertop ice makers,0,0.00%,0%,0%,自然,81,P3-17,美03月21日 21:41,-,-,-,863360,205,76.47%,0.00%
ice maker and water dispenser,0,0.00%,0%,0%,SP,-,-,-,18,P3-6,美03月03日 19:05,725027,247,61.77%,0.00%
thor ice maker,0,0.00%,0%,0%,SP,-,-,-,2,P1-2,美03月03日 18:43,-,-,-,-
ice maker mini,0,0.00%,0%,0%,自然,84,P3-20,美03月21日 22:16,-,-,-,937681,187,68.00%,0.00%
i e maker,0,0.00%,0%,0%,自然,55,P3-7,美03月22日 15:47,-,-,-,378352,486,43.85%,33.33%
countertop freezer,0,0.00%,0%,0%,SP,-,-,-,18,P3-6,美03月03日 15:50,584931,309,84.62%,100.00%
icy maker,0,0.00%,0%,0%,SP,-,-,-,1,P1-1,美03月22日 22:30,973812,180,85.72%,0.00%
free village ice maker machine countertop,0,0.00%,0%,0%,自然,34,P3-2,美03月22日 22:33,-,-,-,982945,178,100.00%,100.00%
ice maker portable,0,0.00%,0%,0%,"自然,HR",20,P2-4,美03月20日 21:48,-,-,-,1096246,158,100.00%,0.00%
ball ice maker,0,0.00%,0%,0%,SP,-,-,-,36,P3-12,美03月30日 18:02,505575,360,60.72%,0.00%
nugget icemaker,0,0.00%,0%,0%,"自然,SP,HR",21,P2-5,美03月20日 22:07,1,P1-1,美03月20日 22:07,1428555,117,100.00%,0.00%
hospital ice maker,0,0.00%,0%,0%,"自然,SP",25,P2-9,美03月20日 21:28,1,P1-1,美03月06日 21:35,1048214,166,75.00%,0.00%
opal ice,0,0.00%,0%,0%,"自然,SP,HR",22,P2-6,美03月20日 21:13,2,P1-2,美03月18日 21:57,1041196,167,100.01%,0.00%
ice makers countertop pellet ice,0,0.00%,0%,0%,"自然,SP,HR",31,P2-15,美03月20日 21:19,1,P1-1,美03月14日 21:45,1130524,152,100.00%,0.00%
crushed ice,0,0.00%,0%,0%,自然,67,P2-19,美03月17日 13:17,-,-,-,314724,588,66.32%,33.34%
portable ice makers,0,0.00%,0%,0%,自然,21,P2-5,美03月20日 21:22,-,-,-,1318330,128,99.99%,0.00%
counter top ice machine maker countertop,0,0.00%,0%,0%,SP,-,-,-,2,P1-2,美03月03日 19:30,934375,188,52.39%,0.00%
ice cube machine,0,0.00%,0%,0%,自然,46,P3-14,美03月18日 22:03,-,-,-,1036706,168,100.00%,0.00%
icy machine,0,0.00%,0%,0%,HR,-,-,-,-,-,-,642194,280,85.71%,50.00%
ice cream maker machine,0,0.00%,0%,0%,SP,-,-,-,2,P1-2,美03月10日 18:34,27328,7122,39.27%,43.48%
key maker machine,0,0.00%,0%,0%,HR,-,-,-,-,-,-,542061,335,82.98%,0.00%
the nugget,0,0.00%,0%,0%,自然,20,P1-20,美03月10日 16:16,-,-,-,338711,545,60.53%,0.00%
clearance ice maker,0,0.00%,0%,0%,SP,-,-,-,10,P2-4,美03月12日 14:11,322539,573,70.84%,33.33%
kona ice machine,0,0.00%,0%,0%,HR,-,-,-,-,-,-,184990,1019,60.93%,100.00%
machine,0,0.00%,0%,0%,自然,99,P3-3,美03月13日 08:51,-,-,-,120463,1595,43.51%,0.00%
clear ice maker,0,0.00%,0%,0%,自然,101,P3-5,美03月18日 08:39,-,-,-,73387,3181,45.40%,52.63%
mini cube ice maker,0,0.00%,0%,0%,自然,48,P3-16,美03月16日 23:10,-,-,-,1003578,174,92.59%,0.00%
pellet machine,0,0.00%,0%,0%,自然,44,P1-44,美03月14日 19:46,-,-,-,824747,215,77.78%,0.00%
hielo,0,0.00%,0%,0%,SP,-,-,-,18,P2-6,美03月30日 19:10,608761,296,70.38%,0.00%
ice press,0,0.00%,0%,0%,"SP,HR",-,-,-,25,P3-1,美03月14日 13:55,337119,548,70.59%,50.00%
frappe maker machine,0,0.00%,0%,0%,SP,-,-,-,27,P3-3,美03月11日 20:36,676850,265,93.34%,0.00%
engine ice,0,0.00%,0%,0%,HR,-,-,-,-,-,-,254664,732,81.69%,87.49%
mueller home,0,0.00%,0%,0%,"自然,SP,HR",80,P2-32,美03月16日 21:00,12,P1-12,美03月15日 20:09,-,-,-,-
ice make,0,0.00%,0%,0%,自然,12,P1-12,美03月13日 22:26,-,-,-,1134143,152,100.00%,0.00%
cubed ice maker,0,0.00%,0%,0%,"自然,HR",36,P3-4,美03月13日 22:21,-,-,-,1207147,142,87.50%,0.00%
icord maker,0,0.00%,0%,0%,SP,-,-,-,12,P1-12,美03月13日 22:50,1244693,137,90.00%,0.00%
mini ice machine,0,0.00%,0%,0%,自然,36,P3-4,美03月30日 17:00,-,-,-,454344,402,76.19%,75.00%
nugget alternative,0,0.00%,0%,0%,SP,-,-,-,8,P1-8,美03月30日 15:38,391173,470,59.53%,0.00%
soft ice makers countertop,0,0.00%,0%,0%,"自然,SP",22,P2-6,美03月13日 21:41,1,P1-1,美03月12日 21:25,1884099,83,100.00%,100.00%
sonic ice makers countertop,0,0.00%,0%,0%,自然,13,P1-13,美03月13日 22:50,-,-,-,1754032,91,99.99%,100.00%
icemaker for frigidaire refrigerator,0,0.00%,0%,0%,HR,-,-,-,-,-,-,1567478,104,100.00%,100.00%
ice machine nugget,0,0.00%,0%,0%,自然,39,P3-7,美03月13日 22:15,-,-,-,1001077,174,90.00%,0.00%
nugget ice makers,0,0.00%,0%,0%,"自然,SP",12,P1-12,美03月13日 22:40,4,P1-4,美03月07日 21:59,1016324,171,85.19%,100.00%
chewy ice makers countertop,0,0.00%,0%,0%,"自然,SP",15,P1-15,美03月13日 21:59,1,P1-1,美03月12日 21:45,1330255,127,63.63%,0.00%
candy machine,0,0.00%,0%,0%,SP,-,-,-,28,P3-4,美03月15日 19:29,46861,4837,36.12%,25.81%
ice machine maker countertop,0,0.00%,0%,0%,"自然,SP",44,P3-12,美03月30日 19:14,2,P1-2,美03月12日 22:11,19707,8928,33.63%,35.96%
igloo ice maker,0,0.00%,0%,0%,SP,-,-,-,6,P1-6,美03月12日 20:44,91190,2351,52.11%,50.00%
ice tea makers countertop,0,0.00%,0%,0%,HR,-,-,-,-,-,-,70701,3320,56.95%,58.33%
best ice cream maker machine,0,0.00%,0%,0%,SP,-,-,-,1,P1-1,美03月12日 21:51,1100105,157,70.00%,0.00%
cocktail maker machine,0,0.00%,0%,0%,SP,-,-,-,36,P3-12,美03月12日 19:42,117201,1642,75.90%,75.00%
freezer ice maker,0,0.00%,0%,0%,"SP,HR",-,-,-,1,P1-1,美03月12日 21:33,1141885,151,86.66%,50.00%
best ice maker,0,0.00%,0%,0%,SP,-,-,-,2,P1-2,美03月12日 22:26,926421,190,90.91%,100.00%
refrigerator with ice maker and water dispenser,0,0.00%,0%,0%,SP,-,-,-,2,P1-2,美03月12日 21:56,934561,188,57.90%,0.00%
water storage tank,0,0.00%,0%,0%,自然,139,P3-43,美03月17日 01:44,-,-,-,89926,2406,30.35%,44.44%
iced tea makers countertop,0,0.00%,0%,0%,SP,-,-,-,27,P3-3,美03月12日 22:01,786599,226,87.51%,100.00%
ge icemaker,0,0.00%,0%,0%,SP,-,-,-,2,P1-2,美03月12日 21:39,1544007,106,100.00%,0.00%
countertop,0,0.00%,0%,0%,自然,102,P3-6,美03月10日 11:28,-,-,-,35958,5885,40.49%,0.00%
manitowoc ice machine cleaner,0,0.00%,0%,0%,HR,-,-,-,-,-,-,639809,281,100.00%,100.00%
ice shaver machine,0,0.00%,0%,0%,SP,-,-,-,11,P2-5,美03月08日 22:43,73707,3165,48.44%,56.26%
ice machine maker,0,0.00%,0%,0%,自然,35,P3-3,美03月06日 10:30,-,-,-,190833,987,39.61%,0.00%
icemakers countertop,0,0.00%,0%,0%,自然,48,P3-16,美03月07日 06:52,-,-,-,110087,1754,44.10%,56.41%
ice maker ge,0,0.00%,0%,0%,"自然,SP",15,P1-15,美03月06日 21:29,18,P3-6,美03月06日 21:29,1300398,130,100.00%,0.00%
opal nugget ice maker countertop,0,0.00%,0%,0%,"自然,SP,HR",22,P2-6,美03月06日 20:50,2,P1-2,美03月05日 20:45,-,-,-,-
ice maker machines,0,0.00%,0%,0%,自然,18,P2-2,美03月05日 20:37,-,-,-,-,-,-,-
vivohome ice maker,0,0.00%,0%,0%,SP,-,-,-,13,P3-1,美03月05日 20:19,858220,206,100.00%,100.00%
magic chef ice maker,0,0.00%,0%,0%,SP,-,-,-,5,P1-5,美03月06日 15:42,527329,344,74.24%,66.67%
uline ice maker,0,0.00%,0%,0%,SP,-,-,-,17,P3-5,美03月06日 17:13,-,-,-,-
pellet maker,0,0.00%,0%,0%,"自然,SP",27,P1-27,美03月04日 20:42,15,P2-3,美03月16日 23:39,1563836,105,100.00%,0.00%
ice blender,0,0.00%,0%,0%,SP,-,-,-,17,P3-5,美03月06日 14:21,267190,696,63.64%,80.00%
